Designator,Mid X,Mid Y,Layer,Rotation
U1,15,21.3,TOP,180
R13,11.4,12.0668,TOP,90
R14,8.80001,12.0332,TOP,90
C14,18.6,12.0668,TOP,270
C15,21.1,12.0668,TOP,270
R11,16.3332,8.30001,TOP,180
R12,21.4668,8.30001,TOP,180
R6,25.7,20.5668,TOP,90
R7,22.9,16.4668,TOP,90
C10,25.7,16.4668,TOP,90
FB2,3.29999,22.7636,TOP,270
C7,8.30001,19.1668,TOP,90
C8,5.79999,19.1332,TOP,90
C9,3.29999,19.1332,TOP,90
C11,22.9,24.6332,TOP,-90
C12,25.7,28.6332,TOP,270
R8,22.9,20.5668,TOP,270
R9,25.7,24.6668,TOP,90
R10,22.9,28.6332,TOP,270
C5,7.06679,22.1,TOP,0
C6,7.06679,24.7,TOP,0
FB3,7.03641,27.2001,TOP,0
R4,10.3,30.5669,TOP,90
R5,12.9,30.5669,TOP,90
C13,15.9,11.9996,TOP,270
U2,18.4,33.7,TOP,90
C19,12.9,39.0332,TOP,-90
C20,10.3,39.0332,TOP,270
FB1,7.80001,39.0093,TOP,270
C18,15.7,40.6857,TOP,-90
R3,12.9,34.7332,TOP,270
R16,21.1664,40.6499,TOP,90
R17,23.8668,32.4,TOP,0
Y1,3.39999,34.7,TOP,270
R15,3.43319,30.7,TOP,0
C16,7.80001,34.7332,TOP,270
C17,10.3,34.7332,TOP,270
PTC1,29.9001,19.45,TOP,90
D3,29.9001,26.5501,TOP,90
D9,34.7,20.65,TOP,270
U4,34.5001,31.26,TOP,90
C21,34.6667,27.2001,TOP,0
C22,34.5168,34.9001,TOP,0
C23,37.5501,31.3332,TOP,270
R29,39.0215,39.9001,TOP,180
D-PWR,34.6786,39.9001,TOP,180
R21,54.6999,6.95,TOP,90
R22,46.9001,6.95,TOP,90
C34,52.2,6.95,TOP,270
C35,49.6001,6.95,TOP,270
U5,59.8,26.2001,TOP,180
PTC2,39.2999,7.55,TOP,90
D6,39.2999,15.35,TOP,90
D7,43.4,8.65,TOP,270
U6,41.4,23.4,TOP,90
R30,41.6331,30.2999,TOP,180
R31,45.6331,30.2999,TOP,180
C36,42.3499,33.2999,TOP,180
C37,41.6331,27.4,TOP,180
R20,61.6001,6.96679,TOP,90
C29,65.2,7.65,TOP,90
C27,50.7332,18.8,TOP,0
C28,50.7332,29.4,TOP,0
X3,49.1,24,TOP,270
X2,64.6501,13.3,TOP,180
C24,68.2668,18.4,TOP,180
C25,63.8332,18.4,TOP,180
C26,59.9999,18.4668,TOP,-90
C32,68.6331,23.4,TOP,180
C30,70.2,26.4668,TOP,90
C31,67.6999,26.4668,TOP,90
C33,68.8332,29.5999,TOP,180
U3,19.4,53.6001,TOP,180
U7,58.47,65.9501,TOP,270
X1,35.9999,53.85,TOP,270
R32,62.9999,80.3669,TOP,90
C40,60.3001,80.3669,TOP,90
C38,66.4332,79.3999,TOP,180
C39,66.4332,82.0999,TOP,180
C3,9.76681,56.6001,TOP,0
C4,9.76681,53.3001,TOP,0
C41,27.5999,52.1332,TOP,270
R1,7.20001,47.7667,TOP,270
C1,31.9001,53.6331,TOP,270
C2,31.9001,58.1332,TOP,90
R2,27.5999,56.6669,TOP,270
R18,20.3668,62.8,TOP,180
D1,15.9332,62.8,TOP,180
R33,45.8,61.4332,TOP,270
R34,45.8,57.1668,TOP,270
R23,70.6669,35.5999,TOP,0
R24,70.6669,38.1,TOP,0
D4,66.45,38.1,TOP,180
R25,52.7667,35.5999,TOP,180
D5,56.9669,38.1,TOP,0
R26,52.7667,38.1,TOP,180
R27,61.9501,34.8,TOP,-180
R28,47.9999,34.8,TOP,0
S1,61.9501,41.75,TOP,90
S2,47.9999,41.75,TOP,90
U10,29.2001,37.4,TOP,90
C42,29.1668,32.8,TOP,0
C44,29.2001,41.6999,TOP,180
R19,29.2001,44.6999,TOP,0
R35,32.9001,43.6331,TOP,270
C43,25.5001,43.2501,TOP,90
